danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.661,0.746,8,-2.223,0,0.25,0.36,0.0,0.454,0.678,83.939,303667,1
0.502,0.451,4,-7.423,0,0.0438,0.283,0.0,0.154,0.531,140.474,216800,4
0.829,0.605,0,-6.625,1,0.208,0.43,1.3e-05,0.0738,0.689,95.065,209558,1
0.508,0.493,0,-8.786,1,0.0327,0.453,0.0,0.241,0.467,127.671,213267,2
0.765,0.701,11,-4.089,0,0.058,0.0579,0.0,0.334,0.758,103.998,191639,4
0.738,0.58,10,-6.963,0,0.315,0.249,0.0,0.109,0.74,159.968,194787,3
0.686,0.778,0,-10.392,1,0.0468,0.054,0.925,0.0671,0.039,124.005,247984,0
0.836,0.699,11,-7.273,0,0.269,0.0124,2.49e-06,0.0405,0.187,128.02,171538,5
0.859,0.73,0,-4.472,0,0.0634,0.24,1.36e-05,0.0821,0.623,92.018,219457,3
0.769,0.817,1,-5.409,1,0.103,0.0225,1.03e-06,0.244,0.896,118.021,182633,3
0.5,0.98,4,-2.616,0,0.137,0.00875,0.257,0.189,0.285,159.93,241500,5
0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,5
0.745,0.503,6,-9.014,0,0.0346,0.595,5.77e-05,0.0878,0.733,99.996,191840,1
0.713,0.646,6,-7.443,1,0.047,0.0421,4.74e-06,0.228,0.882,92.026,214507,1
0.699,0.782,5,-2.757,0,0.0451,0.000748,0.855,0.078,0.378,126.996,338268,5
0.698,0.515,8,-6.241,0,0.036,0.286,0.0,0.116,0.776,144.174,295440,4
0.809,0.685,4,-10.194,0,0.0864,0.0842,0.918,0.0641,0.231,123.498,439190,0
0.672,0.723,5,-4.443,1,0.0346,0.293,0.0,0.353,0.839,90.999,229945,3
0.546,0.352,7,-12.066,1,0.032,0.404,0.0,0.355,0.39,69.199,241760,4
0.618,0.413,4,-14.164,0,0.0302,0.249,0.0517,0.131,0.531,97.84,180760,2
0.51,0.294,1,-8.24,0,0.0565,0.283,0.0,0.0825,0.396,121.442,159150,0
0.694,0.615,6,-7.085,0,0.0482,0.107,0.000281,0.165,0.577,137.964,222563,3
0.964,0.346,5,-9.309,0,0.53,0.035,0.0,0.108,0.562,119.958,142273,1
0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,193837,4
0.696,0.734,7,-5.294,1,0.0298,0.0485,0.0,0.183,0.711,107.987,225080,0
0.787,0.705,0,-7.582,1,0.0695,0.137,1.06e-06,0.108,0.499,81.998,188654,3
0.803,0.738,6,-10.136,0,0.0547,4.13e-05,0.911,0.0514,0.343,123.029,444878,5
0.588,0.889,8,-4.206,1,0.0272,0.0693,0.00286,0.0642,0.442,127.988,187500,5
0.709,0.802,9,-3.528,1,0.0315,0.0144,0.00607,0.0879,0.745,103.411,256947,4
0.459,0.741,4,-6.43,0,0.0495,0.000189,0.0,0.481,0.344,189.879,231013,0
0.801,0.601,11,-7.362,0,0.203,0.147,0.011,0.108,0.282,96.998,283225,1
0.48,0.582,6,-5.169,1,0.0254,0.124,0.000763,0.0876,0.219,79.986,260467,0
0.777,0.745,4,-12.793,0,0.0396,0.236,0.0412,0.232,0.861,124.961,237267,3
0.832,0.726,11,-7.739,0,0.191,0.0283,0.0,0.0468,0.548,106.118,239733,4
0.828,0.666,9,-7.454,1,0.152,0.457,0.0,0.0834,0.44,91.961,212533,3
0.782,0.392,1,-14.014,0,0.282,0.0969,0.000216,0.162,0.432,95.121,287347,4
0.697,0.604,4,-8.365,0,0.039,0.0682,0.0217,0.0334,0.664,125.98,261429,3
0.654,0.547,10,-6.598,1,0.127,0.25,0.0,0.0961,0.507,173.981,207857,4
0.755,0.856,6,-4.627,1,0.0991,0.148,0.0,0.31,0.962,170.067,233600,3
0.895,0.84,5,-3.646,1,0.248,0.375,0.0,0.0801,0.847,99.982,166844,4
0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640,0
