danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.525,0.687,11,-9.029,1,0.0448,0.0108,1.84e-06,0.0885,0.307,141.84,206293,4
0.822,0.635,5,-7.89,0,0.0633,0.275,0.0106,0.0638,0.715,105.327,295333,4
0.561,0.0644,7,-13.783,0,0.481,0.197,0.884,0.0932,0.96,130.583,76835,1
0.686,0.373,11,-16.007,0,0.118,0.532,0.926,0.075,0.203,83.203,156000,1
0.806,0.439,8,-8.917,1,0.068,0.0625,0.00767,0.098,0.489,131.056,148238,0
0.566,0.698,5,-5.821,0,0.462,0.182,0.0,0.665,0.753,92.848,257267,1
0.563,0.402,9,-10.496,1,0.0668,0.252,2.07e-06,0.0886,0.2,115.561,310520,4
0.841,0.687,0,-5.015,1,0.0489,0.159,4.3e-05,0.101,0.501,129.943,225034,1
0.603,0.606,3,-5.06,0,0.0688,0.0108,0.00157,0.108,0.403,93.06,167173,4
0.707,0.628,11,-9.684,1,0.0877,0.00526,8.21e-05,0.104,0.87,187.548,211213,0
0.304,0.909,9,-5.162,1,0.0362,0.00185,0.122,0.362,0.348,103.99,432800,2
0.631,0.814,7,-6.702,1,0.0353,0.012,8.2e-05,0.23,0.831,127.341,231027,2
0.842,0.639,11,-9.092,0,0.0951,0.000597,0.249,0.208,0.487,127.007,373787,5
0.8,0.746,1,-7.233,1,0.274,0.311,0.0,0.0769,0.839,101.376,229160,3
0.875,0.732,1,-5.135,1,0.0635,0.0198,0.0,0.11,0.159,87.142,200933,1
0.473,0.598,6,-5.101,0,0.0268,0.0315,0.00779,0.125,0.0565,93.022,239947,2
0.441,0.413,4,-10.065,1,0.0348,0.775,0.0,0.871,0.412,63.751,249973,2
0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,1
0.914,0.765,5,-2.955,0,0.0408,0.376,2.88e-05,0.119,0.844,105.922,203833,4
0.669,0.912,4,-3.361,1,0.174,0.0819,0.0,0.0654,0.873,130.037,233680,3
0.582,0.78,9,-5.413,0,0.0687,0.000269,0.0,0.376,0.362,85.99,190715,1
0.659,0.529,5,-9.246,0,0.0357,0.0242,8.52e-06,0.142,0.41,107.975,236933,0
0.665,0.98,7,-4.283,1,0.0847,0.0145,0.347,0.348,0.282,127.976,115312,5
0.801,0.72,1,-5.155,1,0.303,0.184,0.0,0.241,0.492,90.024,230899,1
0.837,0.859,10,-6.027,0,0.0786,0.00288,0.0,0.112,0.632,102.788,204413,4
0.594,0.635,4,-4.259,0,0.47,0.249,0.0,0.454,0.552,75.035,283733,1
0.452,0.685,0,-4.828,0,0.0385,0.0257,0.0,0.11,0.305,76.986,199600,0
0.399,0.599,3,-6.987,1,0.204,0.362,0.0,0.188,0.0911,73.051,299600,0
0.499,0.659,6,-10.187,0,0.059,0.00632,0.0,0.112,0.478,150.965,205430,3
0.763,0.609,11,-6.375,1,0.39,0.513,0.0,0.23,0.287,102.525,193506,0
0.804,0.915,6,-8.548,1,0.0422,0.000117,0.916,0.0878,0.362,123.014,457138,5
0.546,0.796,1,-3.263,1,0.0639,0.0909,2.73e-05,0.19,0.254,142.123,299613,1
0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,204760,0
0.886,0.752,1,-3.819,0,0.0949,0.191,2.76e-06,0.146,0.435,94.066,220147,3
0.839,0.621,1,-5.739,1,0.132,0.00301,0.0314,0.105,0.855,98.015,281507,4
0.934,0.759,6,-5.873,0,0.185,0.0102,0.0,0.0818,0.927,123.857,227107,1
0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,0
0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,172867,0
0.767,0.961,0,-4.437,1,0.0499,0.0718,1.21e-06,0.0628,0.967,110.026,188067,3
0.706,0.806,2,-5.881,1,0.0653,0.05,0.0,0.0639,0.395,106.016,254800,4
0.917,0.6,6,-5.362,1,0.0483,0.296,0.00159,0.0469,0.659,120.001,240988,0
0.679,0.634,5,-5.024,0,0.0654,0.232,0.0,0.115,0.498,102.013,210091,5
0.286,0.784,1,-2.873,1,0.0749,0.0163,6.48e-05,0.0713,0.618,173.793,216120,0
0.746,0.615,9,-6.325,0,0.0283,0.208,0.0107,0.0752,0.8,93.003,200520,0
0.426,0.961,8,-4.365,1,0.07,0.013,0.0259,0.0621,0.616,171.411,228533,2
0.819,0.913,4,-3.059,0,0.0427,0.0935,3.72e-05,0.161,0.536,119.989,219160,0
0.533,0.703,2,-6.364,1,0.0423,0.184,0.0,0.101,0.612,128.761,186093,2
0.417,0.535,7,-8.619,1,0.0264,0.000384,0.000154,0.125,0.0774,92.069,295867,2
0.715,0.349,0,-10.519,1,0.251,0.732,0.715,0.0725,0.406,85.302,101295,1
0.457,0.41,2,-9.362,0,0.0283,0.67,0.227,0.121,0.0508,85.013,458720,2
0.77,0.829,8,-4.529,1,0.282,0.104,0.0,0.169,0.797,160.141,192157,1
0.329,0.811,7,-4.104,0,0.292,0.0222,0.659,0.695,0.109,121.965,205591,5
0.5,0.866,9,-4.338,1,0.0443,0.0575,0.0,0.129,0.629,176.189,197235,2
0.214,0.947,4,-5.053,1,0.0507,0.000552,0.00352,0.238,0.483,170.616,193613,2
0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,224853,3
0.79,0.803,1,-5.123,0,0.11,0.402,0.0,0.122,0.799,133.032,153383,1
0.795,0.789,8,-5.932,0,0.0373,0.0572,8.62e-06,0.0735,0.839,95.994,187500,1
0.641,0.773,0,-5.329,1,0.0345,0.0134,6.99e-06,0.466,0.372,115.014,163842,0
0.829,0.758,7,-6.202,1,0.256,0.0408,0.0,0.139,0.908,95.019,240907,3
